年,農林水産業,鉱業,製造業,建設業,電気�Eガス・水道業,卸売・小売業,金融・保険業,不動産業,運輸・通信業,サービス業
1980,8984,1183,69159,35778,8316,35428,11069,36317,19480,56704
1981,8926,1123,71482,36857,8401,36377,11347,37436,19954,59194
1982,9555,1159,73347,35863,8767,37613,11465,38084,19976,61421
1983,9683,1069,74485,33081,9182,38799,12677,38991,20933,64520
1984,9918,965,77906,32113,9354,38851,13993,40455,22094,67425
1985,9824,888,85817,33678,9767,39556,15621,42110,23267,71446
1986,9747,888,84567,35381,9396,41337,18568,43512,23907,71958
1987,10186,820,87537,37960,9719,44643,21790,45445,24755,71965
1988,9848,822,93835,42079,10105,47970,24422,47519,26423,74792
1989,10159,752,99563,44824,10643,50594,25830,48522,28548,77695
1990,10188,973,106859,48605,11310,55531,30127,49756,29456,79871
1991,8915,901,111796,47983,11883,61301,29814,50771,30808,83516
1992,9179,839,109929,46795,11851,64736,29454,51858,31079,85707
1993,8327,767,105410,46744,11559,66027,29950,53464,31405,87171
1994,8418,607,103438,44377,11727,68997,30773,54398,31846,87172
1995,7934,575,107272,41553,12003,73576,30902,54993,32915,88932
1996,8630,613,110817,41439,13020,74502,30382,55992,33166,93569
1997,8524,603,113140,40956,13089,75207,31115,56619,34573,95022
1998,8684,576,107016,39214,13343,72836,29286,56537,34184,96424
1999,8737,558,106155,38549,13496,72450,30199,56650,34010,96818
2000,8895,626,111439,37129,13576,70660,30445,57863,34820,102603
2001,8680,676,105344,36032,13873,71199,31665,58680,35724,105603
2002,9183,651,103956,34896,13826,70508,33663,59187,36603,108007
2003,8629,650,110782,33112,13824,69249,34566,59664,37004,111151
2004,8035,564,118322,33912,14285,70048,33747,60309,37263,113721
2005,8289,583,125108,32896,15341,70918,34497,60897,37044,119524
2006,8118,518,129482,32743,15270,69243,33960,61464,37489,125160
2007,8419,413,138008,31766,15023,70345,33211,62410,38174,129226
2008,8771,336,138035,30006,15033,67929,28094,62912,39238,128397
2009,8089,278,113066,28882,13591,59953,26480,63321,37088,123886
